time	distance
668	16.1042
669	16.1163
670	16.1419
671	16.1633
672	16.1541
673	16.166
674	16.1501
675	16.167
676	16.2456
677	16.2128
678	16.3062
679	16.3013
680	16.1795
681	16.2647
682	16.1715
683	16.1935
684	16.2933
685	16.3279
686	16.3594
687	16.2672
688	16.2886
689	16.2496
690	16.2994
691	16.195
692	16.2069
693	16.1797
694	16.1764
695	16.1875
696	16.1962
697	16.1602
698	16.2289
699	16.1493
700	16.135
701	16.1827
702	16.104
703	16.0158
704	16.0502
705	16.0559
706	15.9699
707	15.9812
708	15.9642
709	15.985
710	16.1469
711	16.177
712	16.191
713	16.2068
714	16.2392
715	16.2729
716	16.2501
717	16.3285
718	16.3525
719	16.4101
720	16.5216
721	16.4645
722	16.4155
723	16.4431
724	16.4192
725	16.529
726	16.5034
727	16.4251
728	16.5402
729	16.6065
730	16.631
731	16.7124
732	16.6328
733	16.6989
734	16.6833
735	16.7869
736	16.8024
737	16.8301
738	16.8877
739	16.8481
740	16.9178
741	16.922
742	17.016
743	17.1231
744	17.1257
745	17.0221
746	17.015
747	17.0234
748	17.0184
749	16.9665
750	17.0035
751	16.9705
752	16.9307
753	17.0849
754	17.0973
755	17.0878
756	17.161
757	17.2666
758	17.1768
759	17.2556
760	17.2019
761	17.2265
762	17.2085
763	17.2216
764	17.1671
765	17.1156
766	17.1467
767	17.2331
768	17.2353
769	17.2322
770	17.2795
771	17.2473
772	17.2624
773	17.3744
774	17.4384
775	17.4934
776	17.5467
777	17.4442
778	17.4081
779	17.4588
780	17.3891
781	17.3696
782	17.4601
783	17.5113
784	17.5006
785	17.4969
786	17.5657
787	17.524
788	17.5381
789	17.5894
790	17.6221
791	17.6346
792	17.6504
793	17.6082
794	17.7233
795	17.6391
796	17.6097
797	17.6732
798	17.6639
799	17.725
800	17.7867
801	17.7579
802	17.7599
803	17.7242
804	17.6998
805	17.7111
806	17.765
807	17.7677
808	17.8001
809	17.8524
810	17.8555
811	17.767
812	17.7422
813	17.8214
814	17.8803
815	17.9802
816	17.9025
817	17.8369
818	17.8553
819	17.8581
820	17.8155
821	17.7634
822	17.7331
823	17.7718
824	17.8408
825	17.7807
826	17.7459
827	17.7864
828	17.7736
829	17.8308
830	17.8197
831	17.7582
832	17.7374
833	17.7342
834	17.7742
835	17.7459
836	17.7655
837	17.7746
838	17.7293
839	17.7476
840	17.7539
841	17.8246
842	17.831
843	17.7797
844	17.6975
845	17.7326
846	17.759
847	17.8389
848	17.817
849	17.8514
850	17.8613
851	17.7512
852	17.7652
853	17.7786
854	17.8032
855	17.8712
856	17.8039
857	17.8388
858	17.904
859	17.9412
860	17.9513
861	17.9803
862	17.9637
863	17.9811
864	17.9055
865	17.9185
866	17.9976
867	17.9864
868	18.0012
869	18.0622
870	18.1094
871	18.0212
872	18.0039
873	17.9799
874	17.9324
875	17.9436
876	17.992
877	18.0327
878	18.1559
879	18.1091
880	18.0616
881	18.0143
882	18.0816
883	18.1013
884	18.1228
885	18.0867
886	18.0979
887	18.1732
888	18.1619
889	18.1018
890	18.0661
891	18.062
892	18.1048
893	18.1037
894	18.044
895	18.058
896	18.0684
897	18.0984
898	18.1494
899	18.255
900	18.2892
901	18.3078
902	18.3586
903	18.3032
904	18.3144
905	18.2809
906	18.2643
907	18.3054
908	18.3663
909	18.3911
910	18.4454
911	18.4961
912	18.5253
913	18.5502
914	18.5974
915	18.6532
916	18.6091
917	18.6215
918	18.6348
919	18.6832
920	18.7471
921	18.7332
922	18.7078
923	18.6974
924	18.6705
925	18.6944
926	18.7332
927	18.8103
928	18.8446
929	18.8929
930	18.9502
931	18.8609
932	18.9548
933	19.0091
934	19.0234
935	18.9665
936	18.974
937	19.0569
938	19.1118
939	19.15
940	19.2348
941	19.2419
942	19.3209
943	19.3215
944	19.3136
945	19.2552
946	19.3147
947	19.3497
948	19.3042
949	19.3181
950	19.2829
951	19.3149
952	19.3816
953	19.4434
954	19.4815
955	19.4258
956	19.4657
957	19.4341
958	19.4303
959	19.4714
960	19.4465
961	19.4106
962	19.3604
963	19.312
964	19.378
965	19.3761
966	19.4057
967	19.3009
968	19.3072
969	19.4043
970	19.3673
971	19.3365
972	19.3276
973	19.294
974	19.3045
975	19.2854
976	19.3628
977	19.3459
978	19.4124
979	19.4319
980	19.418
981	19.3747
982	19.3736
983	19.4141
984	19.3467
985	19.3146
986	19.3408
987	19.4526
988	19.4139
989	19.3304
990	19.3202
991	19.3716
992	19.3254
993	19.2909
994	19.2913
995	19.3573
996	19.4095
997	19.3299
998	19.3242
999	19.44
1000	19.5067
1001	19.54
1002	19.5824
1003	19.5671
1004	19.6387
1005	19.6909
1006	19.7499
1007	19.7146
1008	19.6297
1009	19.5905
1010	19.4701
1011	19.4501
1012	19.4635
1013	19.4958
1014	19.5242
1015	19.5904
1016	19.5674
1017	19.6151
1018	19.6293
1019	19.6412
1020	19.6125
1021	19.5344
1022	19.5362
1023	19.4634
1024	19.4318
1025	19.474
1026	19.387
1027	19.3193
1028	19.2612
1029	19.2986
1030	19.2977
1031	19.2731
1032	19.3953
1033	19.4001
1034	19.4808
1035	19.4483
1036	19.3639
1037	19.3485
1038	19.3715
1039	19.3898
1040	19.3979
1041	19.4265
1042	19.4078
1043	19.3529
1044	19.2855
1045	19.3189
1046	19.4257
1047	19.4721
1048	19.555
1049	19.5865
1050	19.6552
1051	19.6792
1052	19.701
1053	19.7268
1054	19.869
1055	19.8383
1056	19.8559
1057	19.8696
1058	19.7896
1059	19.7785
1060	19.701
1061	19.7372
1062	19.773
1063	19.8213
1064	19.7714
1065	19.7937
1066	19.8198
1067	19.7996
1068	19.8201
1069	19.8259
1070	19.8344
1071	19.8432
1072	19.8599
1073	19.8427
1074	19.8084
1075	19.7625
1076	19.8341
1077	19.8396
1078	19.7871
1079	19.7736
1080	19.7008
1081	19.7349
1082	19.7901
1083	19.841
1084	19.8395
1085	19.8115
1086	19.8087
1087	19.7395
1088	19.6083
1089	19.5015
1090	19.4758
1091	19.4797
1092	19.4627
1093	19.5191
1094	19.4804
1095	19.5001
1096	19.5598
1097	19.5571
1098	19.4774
1099	19.4896
1100	19.5566
1101	19.5617
1102	19.5691
1103	19.5961
1104	19.6418
1105	19.6928
1106	19.7405
1107	19.7601
1108	19.756
1109	19.7031
1110	19.6988
1111	19.6382
1112	19.735
1113	19.7224
1114	19.7539
1115	19.7759
1116	19.8817
1117	19.8945
1118	19.9315
1119	19.9841
1120	19.9781
1121	20.0489
1122	20.0312
1123	20.0102
1124	20.0961
1125	20.2111
1126	20.1455
1127	20.1051
1128	20.1279
1129	20.0656
1130	20.0057
1131	19.9673
1132	19.9906
1133	20.0508
1134	20.0138
1135	20.0939
1136	20.1366
1137	20.1538
1138	20.153
1139	20.1506
1140	20.1806
1141	20.1986
1142	20.1987
1143	20.1331
1144	20.1323
1145	20.1057
1146	20.1681
1147	20.0785
1148	20.0876
1149	20.1126
1150	20.1263
1151	20.1631
1152	20.2191
1153	20.2076
1154	20.1165
1155	20.1178
1156	20.103
1157	20.1319
1158	20.2233
1159	20.2515
1160	20.2803
1161	20.3072
1162	20.3061
1163	20.2885
1164	20.2586
1165	20.362
1166	20.3447
1167	20.4695
1168	20.492
1169	20.4185
1170	20.4709
1171	20.5209
1172	20.4542
1173	20.4365
1174	20.4505
1175	20.4256
1176	20.4635
1177	20.4191
1178	20.4082
1179	20.3747
1180	20.3815
1181	20.4364
1182	20.507
1183	20.5165
1184	20.4987
1185	20.5347
1186	20.5433
1187	20.5163
1188	20.5692
1189	20.6166
1190	20.6424
1191	20.6386
1192	20.6802
1193	20.7066
1194	20.7454
1195	20.7554
1196	20.7781
1197	20.8299
1198	20.8099
1199	20.7633
1200	20.7701
1201	20.7261
1202	20.6908
1203	20.7461
1204	20.7316
1205	20.7625
1206	20.7264
1207	20.7029
1208	20.8479
1209	20.8959
1210	20.9578
1211	20.9059
1212	20.9862
1213	20.9752
1214	20.9724
1215	20.9606
1216	20.9937
1217	20.9747
1218	20.947
1219	21.0058
1220	20.9685
1221	20.9927
